2020	1	0	200	0	0	500	0	250	0	0	500	0	200	0	0	500	0	116	0	0	5	0	20	0	0	5	0	
2020	2	1	0	300	0	0	500	0	300	0	0	500	0	300	0	0	500	0	5	0	0	2	0	30	0	0	2	
2020	3	2	300	0	500	400	0	300	0	500	400	0	300	0	500	400	0	3	0	7	3	0	33	0	59	3	0	
2020	8	3	0	500	0	200	0	0	500	0	200	0	0	500	0	200	0	0	6	0	1	0	0	56	0	0	0	
2020	9	0	400	0	100	1000	0	500	0	100	1000	0	400	0	100	1000	0	55	0	9	8	0	41	0	23	10	0	
2020	10	5	0	200	0	500	0	0	200	0	500	0	0	200	0	500	0	0	3	0	4	0	0	28	0	5	0	
2020	11	4	300	0	900	0	0	300	0	900	0	0	300	0	900	0	0	3	0	10	0	0	35	0	98	0	0	
2020	12	1	0	100	0	200	500	0	100	0	200	500	0	100	0	200	500	0	2	0	3	6	0	16	0	3	4	
2021	1	3	0	200	200	300	0	0	200	200	300	0	0	200	200	300	0	0	3	4	2	0	0	29	22	4	0	
2021	2	0	100	0	0	500	0	100	0	0	500	0	100	0	0	500	0	2	0	0	6	0	8	0	0	2	0	
2021	3	6	300	0	200	300	0	300	0	200	300	0	300	0	200	300	0	4	0	5	4	0	27	0	21	4	0	
2021	8	2	300	200	500	500	100	300	200	500	500	100	300	200	500	500	100	5	3	11	9	1	27	27	54	4	6	
2021	9	4	200	0	400	0	500	200	0	400	0	500	200	0	400	0	500	4	0	8	0	6	19	0	42	0	3	
2021	10	1	100	200	0	0	300	100	200	0	0	300	100	200	0	0	300	1	2	0	0	3	9	29	0	0	1	
2021	11	0	200	0	300	500	0	200	0	300	500	0	200	0	300	500	0	3	0	4	9	0	17	0	33	5	0	
2021	12	3	100	300	400	0	0	100	300	400	0	0	100	300	400	0	0	2	4	7	0	0	10	37	42	0	0	
2022	1	2	500	300	600	600	300	500	300	600	600	300	500	300	600	600	300	5	2	6	4	2	13	40	6	11	5	
2022	2	0	300	0	200	200	0	300	0	200	200	0	300	0	210	200	0	2	0	1	1	0	29	0	2	16	0	
2022	3	3	200	500	200	0	0	200	500	200	0	0	200	500	200	0	0	1	3	2	0	0	19	61	2	0	0	
2022	8	6	300	0	500	200	0	281	0	485	199	0	273	0	467	176	0	1	0	3	0	0	11	0	5	14	0	
2022	9	8	0	300	0	700	600	0	250	0	422	500	0	239	0	402	478	0	2	0	4	4	0	26	0	19	8	
2022	10	7	500	0	600	0	800	320	0	346	0	498	314	0	328	0	463	2	0	2	0	3	29	0	2	0	11	
